Surface,Reaction,d_NN(top),d_NN(2nd),d_NN(bulk),EN(top),EN(2nd),Facet,ID,CO_or_CC,Eads(CH3CH2OH),N_H,Initial,Final,Er,Ea,E_TS,has_TS
Pt-Co-Pt(111),*CH2CO → *CH2 + *CO,277,250,277,2.28,1.88,1,7,1,-0.2925,2,1.4752,1.5163,0.0411,100.0,3.029083160664311,0
Pt-Co-Pt(111),*CH3CH2O → *CH3CH2 + *O,277,250,277,2.28,1.88,1,8,2,-0.2925,5,0.6948,1.1739,0.4791,100.0,2.4514430387896167,0
Pt-Co-Pt(111),*CH3CHO → *CH3CH + *O,277,250,277,2.28,1.88,1,9,2,-0.2925,4,0.7269,1.9662,1.2393,100.0,2.688141346981521,0
Pt-Co-Pt(111),*CH3CO → *CH3C + *O,277,250,277,2.28,1.88,1,11,2,-0.2925,3,0.6845,2.0885,1.404,100.0,2.9469315761060884,0
Pt-Co-Pt(111),*CH2CHO → *CH2CH + *O,277,250,277,2.28,1.88,1,12,2,-0.2925,3,1.2573,2.6572,1.3999,100.0,3.8054094712480717,0
Pt-Co-Pt(111),*CH2CO → *CH2C + *O,277,250,277,2.28,1.88,1,14,2,-0.2925,2,1.4752,2.8496,1.3744,100.0,4.015987167331357,0
Zn-Pt-Pt(111),*CH3CH2O → *CH3 + *CH2O,266,277,277,1.65,2.28,1,1,1,-0.2631,5,-0.5133,1.0314,1.5447,100.0,1.5776163736369706,0
Zn-Pt-Pt(111),*CH3CHO → *CH3 + *CHO,266,277,277,1.65,2.28,1,2,1,-0.2631,4,0.6184,1.9338,1.3154,100.0,2.0040358448764843,0
Zn-Pt-Pt(111),*CH2CH2O → *CH2 + *CH2O,266,277,277,1.65,2.28,1,3,1,-0.2631,4,1.3228,1.8882,0.5654,100.0,2.0968660069725784,0
Zn-Pt-Pt(111),*CH3CO → *CH3 + *CO,266,277,277,1.65,2.28,1,4,1,-0.2631,3,1.1943,1.9964,0.8021,100.0,2.412624358750426,0
Zn-Pt-Pt(111),*CH2CHO → *CH2 + *CHO,266,277,277,1.65,2.28,1,5,1,-0.2631,3,1.1153,2.7937,1.6784,100.0,2.766320891841009,0
Zn-Pt-Pt(111),*CHCH2O → *CH + *CH2O,266,277,277,1.65,2.28,1,6,1,-0.2631,3,1.6171,2.5882,0.9711,100.0,2.683870230238628,0
Zn-Pt-Pt(111),*CH2CO → *CH2 + *CO,266,277,277,1.65,2.28,1,7,1,-0.2631,2,1.8847,2.9298,1.0451,100.0,2.8158455335090697,0
Zn-Pt-Pt(111),*CH3CH2O → *CH3CH2 + *O,266,277,277,1.65,2.28,1,8,2,-0.2631,5,-0.5133,0.0612,0.5745,100.0,1.4182135968002276,0
Zn-Pt-Pt(111),*CH3CHO → *CH3CH + *O,266,277,277,1.65,2.28,1,9,2,-0.2631,4,0.6184,1.1358,0.5174,100.0,1.6934581899663468,0
Zn-Pt-Pt(111),*CH3CO → *CH3C + *O,266,277,277,1.65,2.28,1,11,2,-0.2631,3,1.1943,1.8517,0.6574,100.0,2.34722986460232,0
Zn-Pt-Pt(111),*CH2CHO → *CH2CH + *O,266,277,277,1.65,2.28,1,12,2,-0.2631,3,1.1153,1.6739,0.5586,100.0,2.2297288432929263,0
Zn-Pt-Pt(111),*CH2CO → *CH2C + *O,266,277,277,1.65,2.28,1,14,2,-0.2631,2,1.8847,2.2964,0.4117,100.0,2.706895475230408,0
Pt-Zn-Pt(111),*CH3CH2O → *CH3 + *CH2O,277,266,277,2.28,1.65,1,1,1,-0.1817,5,1.3155,1.9745,0.659,100.0,2.2942632175854665,0
Pt-Zn-Pt(111),*CH3CHO → *CH3 + *CHO,277,266,277,2.28,1.65,1,2,1,-0.1817,4,0.8444,2.2082,1.3638,100.0,2.3959349846907685,0
Pt-Zn-Pt(111),*CH2CH2O → *CH2 + *CH2O,277,266,277,2.28,1.65,1,3,1,-0.1817,4,2.559,2.9505,0.3915,100.0,2.8284155962916424,0
Pt-Zn-Pt(111),*CH3CO → *CH3 + *CO,277,266,277,2.28,1.65,1,4,1,-0.1817,3,1.361,1.9286,0.5676,100.0,2.5035727259346547,0
Pt-Zn-Pt(111),*CH2CHO → *CH2 + *CHO,277,266,277,2.28,1.65,1,5,1,-0.1817,3,1.9689,3.1842,1.2153,100.0,3.4262133790677343,0
Pt-Zn-Pt(111),*CHCH2O → *CH + *CH2O,277,266,277,2.28,1.65,1,6,1,-0.1817,3,3.307,2.9671,-0.3399,100.0,3.2602277203121472,0
Pt-Zn-Pt(111),*CH2CO → *CH2 + *CO,277,266,277,2.28,1.65,1,7,1,-0.1817,2,2.4606,2.9316,0.471,100.0,3.430404341672805,0
Pt-Zn-Pt(111),*CH3CH2O → *CH3CH2 + *O,277,266,277,2.28,1.65,1,8,2,-0.1817,5,1.3155,2.5333,1.2178,100.0,2.669381298334165,0
Pt-Zn-Pt(111),*CH3CHO → *CH3CH + *O,277,266,277,2.28,1.65,1,9,2,-0.1817,4,0.8444,3.3314,2.487,100.0,2.994882137992706,0
Pt-Zn-Pt(111),*CH3CO → *CH3C + *O,277,266,277,2.28,1.65,1,11,2,-0.1817,3,1.361,3.2498,1.8888,100.0,3.3104579230137867,0
Pt-Zn-Pt(111),*CH2CHO → *CH2CH + *O,277,266,277,2.28,1.65,1,12,2,-0.1817,3,1.9689,4.3744,2.4055,100.0,4.088062089798649,0
Pt-Zn-Pt(111),*CH2CO → *CH2C + *O,277,266,277,2.28,1.65,1,14,2,-0.1817,2,2.4606,4.2767,1.8161,100.0,4.1921324461085145,0
